,0
0,494
1,314
2,861
3,615
4,803
5,623
6,843
7,150
8,539
9,947
10,163
11,95
12,768
13,83
14,348
15,174
16,118
17,878
18,531
19,571
20,674
21,375
22,180
23,471
24,334
25,889
26,962
27,985
28,864
29,157
30,586
31,185
32,181
33,391
34,931
35,845
36,542
37,520
38,728
39,988
40,532
41,914
42,942
43,837
44,60
45,64
46,567
47,783
48,956
49,723
50,54
51,727
52,113
53,511
54,482
55,513
56,503
57,461
58,766
59,749
60,880
61,730
62,733
63,713
64,10
65,814
66,687
67,55
68,303
69,350
70,584
71,535
72,764
73,374
74,758
75,581
76,822
77,483
78,470
79,568
80,316
81,671
82,678
83,434
84,386
85,435
86,575
87,130
88,56
89,670
90,832
91,412
92,188
93,912
94,667
95,177
96,652
97,886
98,564
99,666
100,438
101,827
102,930
103,91
104,309
105,852
106,634
107,657
108,597
109,817
110,421
111,661
112,199
113,806
114,641
115,388
116,738
117,451
118,373
119,196
120,694
121,40
122,989
123,467
124,685
125,89
126,868
127,381
128,790
129,847
130,42
131,378
132,621
133,599
134,812
135,481
136,376
137,78
138,465
139,952
140,357
141,547
142,533
143,525
144,744
145,910
146,675
147,326
148,304
149,656
150,917
151,704
152,578
153,365
154,977
155,526
156,892
157,699
158,485
159,841
160,629
161,404
162,20
163,750
164,521
165,377
166,49
167,903
168,315
169,849
170,516
171,964
172,844
173,459
174,36
175,538
176,45
177,159
178,897
179,815
180,88
181,548
182,775
183,941
184,919
185,693
186,654
187,563
188,473
189,492
190,345
191,984
192,493
193,946
194,321
195,442
196,894
197,397
198,437
199,306
200,97
201,648
202,131
203,478
204,909
205,616
206,595
207,624
208,52
209,881
210,589
211,767
212,883
213,53
214,922
215,617
216,26
217,14
218,110
219,557
220,353
221,469
222,70
223,594
224,960
225,104
226,565
227,6
228,383
229,394
230,810
231,712
232,338
233,343
234,724
235,646
236,939
237,11
238,15
239,344
240,757
241,21
242,192
243,824
244,855
245,426
246,769
247,955
248,870
249,876
250,726
251,640
252,106
253,114
254,869
255,402
256,553
257,476
258,447
259,721
260,2
261,35
262,884
263,507
264,804
265,787
266,986
267,550
268,850
269,994
270,774
271,336
272,454
273,498
274,501
275,818
276,12
277,361
278,138
279,696
280,84
281,149
282,135
283,943
284,401
285,631
286,28
287,332
288,684
289,508
290,161
291,777
292,798
293,752
294,155
295,57
296,655
297,873
298,544
299,799
300,893
301,506
302,961
303,846
304,877
305,136
306,872
307,61
308,754
309,63
310,399
311,50
312,681
313,13
314,558
315,389
316,745
317,354
318,797
319,47
320,142
321,43
322,992
323,527
324,920
325,736
326,974
327,129
328,593
329,301
330,933
331,983
332,30
333,407
334,899
335,19
336,125
337,794
338,660
339,688
340,495
341,468
342,176
343,112
344,620
345,916
346,308
347,605
348,117
349,791
350,949
351,167
352,522
353,515
354,408
355,976
356,200
357,466
358,940
359,29
360,333
361,146
362,158
363,628
364,857
365,577
366,987
367,795
368,393
369,164
370,197
371,765
372,173
373,16
374,900
375,453
376,385
377,672
378,853
379,590
380,808
381,756
382,828
383,825
384,427
385,582
386,627
387,725
388,882
389,596
390,780
391,76
392,195
393,859
394,73
395,928
396,528
397,573
398,358
399,4
400,170
401,741
402,81
403,312
404,490
405,105
406,793
407,811
408,39
409,546
410,722
411,969
412,551
413,100
414,662
415,957
416,997
417,606
418,311
419,609
420,995
421,566
422,830
423,537
424,918
425,178
426,929
427,763
428,934
429,874
430,842
431,658
432,555
433,888
434,831
435,714
436,771
437,762
438,418
439,34
440,530
441,392
442,18
443,809
444,820
445,372
446,600
447,193
448,541
449,645
450,614
451,887
452,556
453,79
454,328
455,669
456,585
457,732
458,323
459,59
460,643
461,990
462,172
463,502
464,716
465,428
466,737
467,980
468,456
469,805
470,346
471,484
472,682
473,68
474,838
475,518
476,103
477,800
478,944
479,907
480,347
481,504
482,583
483,967
484,330
485,325
486,823
487,512
488,784
489,75
490,632
491,761
492,152
493,703
494,457
495,772
496,33
497,871
498,650
499,71
500,673
501,891
502,707
503,69
504,821
505,422
506,690
507,898
508,9
509,879
510,162
511,908
512,420
513,981
514,950
515,833
516,863
517,313
518,368
519,464
520,692
521,349
522,32
523,659
524,413
525,534
526,973
527,463
528,366
529,840
530,198
531,932
532,801
533,489
534,579
535,630
536,126
537,72
538,433
539,327
540,858
541,649
542,543
543,128
544,559
545,711
546,770
547,38
548,948
549,120
550,324
551,680
552,400
553,902
554,342
555,305
556,710
557,603
558,3
559,760
560,529
561,729
562,796
563,848
564,491
565,742
566,807
567,524
568,978
569,691
570,773
571,856
572,851
573,896
574,17
575,651
576,993
577,87
578,519
579,363
580,102
581,74
582,945
583,708
584,611
585,966
586,380
587,509
588,99
589,184
590,540
591,613
592,746
593,802
594,867
595,601
596,41
597,370
598,937
599,145
600,455
601,904
602,905
603,121
604,62
605,7
606,709
607,450
608,826
609,189
610,144
611,924
612,310
613,549
614,417
615,92
616,938
617,999
618,168
619,406
620,638
621,779
622,996
623,116
